Rank                                           Won  Lost  Tied    PF    PA   Rating
 402 Craig County                                2     8     0   125   382   28.832
 403 Quantico                                    3     6     0   168   313   28.451
 404 Nativity of the Blessed Virgin Mary, PA     0     1     0     0    55   28.376
 405 Twin Valley                                 4     6     0   286   383   28.065
 406 Bland County                                0    10     0   149   378   27.969
 407 Victory Christian                           1     4     1    66   171   27.517
 408 Cape Hatteras SSCS, NC                      0     1     0     7    40   27.464
 409 Snow Hill, MD                               0     2     0    36    70   27.443
 410 Thomas Walker                               1     9     0   197   468   27.165
 411 Rye Cove                                    2     8     0   204   448   27.019
 412 Castlewood                                  1     9     0    78   351   26.507
 413 Charles City                                1     9     0   122   509   25.353
 414 Montcalm, WV                                0     5     0   118   184   25.036
 415 Hampton Roads Generals                      1     4     0    82   181   25.002
 416 Washington, MD                              0     2     0    21    68   24.476
 417 Colonel Richardson, MD                      0     2     0    21    75   24.329
 418 Massanutten Military                        0     8     0    78   325   23.410
 419 Phelps, KY                                  0     2     0    48    88   22.086
 420 King & Queen                                0    10     0    62   452   20.028
 421 Rappahannock County                         0     7     0    41   330   19.001
 422 Northampton                                 0    10     0    40   463   18.440
 423 Hannan, WV                                  0     1     0     0    40    9.952
