Rank                                           Won  Lost  Tied    PF    PA   Rating
 225 COLLEGIATE                                  2     3     0    99   120  100.690
 226 MAURY                                       3     4     0   150   169  100.661
 227 ATHENS DRIVE, NC                            0     1     0    19    34  100.586
 228 MADISON COUNTY                              4     3     0   229   215  100.545
 229 WOODBRIDGE                                  2     5     0   105   192  100.323
 230 PAMLICO COUNTY, NC                          0     1     0    22    64  100.189
 231 FREEDOM(LC)                                 2     5     0   104   137  100.106
 232 GEORGE MARSHALL                             2     5     0   117   225  100.075
 233 ST. CHRISTOPHER'S                           4     2     0   181   117   99.722
 234 FIRST FLIGHT, NC                            1     0     0    56    14   99.626
 235 CHILHOWIE                                   6     2     0   304   230   99.528
 236 STRASBURG                                   5     2     0   141   156   99.280
 237 ROANOKE CATHOLIC                            7     1     0   406    85   99.108
 238 R.E. LEE(ST)                                3     4     0   111   185   98.936
 239 DENBIGH                                     2     6     0   111   277   98.893
 240 GREEN RUN                                   3     5     0   178   196   98.833
 241 PERQUIMANS, NC                              1     0     0    53    12   98.828
 242 MOUNTAIN VIEW                               2     5     0   181   221   98.746
 243 TUNSTALL                                    4     3     0   139   177   98.701
 244 PATRICK HENRY(GS)                           6     1     0   253    91   98.684
 245 PAGE COUNTY                                 3     4     0   196   181   98.613
 246 COVINGTON                                   4     3     0   258   119   98.557
 247 ST. ALBAN'S, DC                             2     1     0    60    59   98.469
 248 VIRGINIA                                    2     5     0   179   250   98.360
 249 HERNDON                                     1     6     0   161   280   98.322
 250 LETCHER COUNTY CENTRAL, KY                  1     0     0    39    20   98.314
 251 COLONEL RICHARDSON, MD                      2     0     0    90    42   98.260
 252 ROCKBRIDGE COUNTY                           0     7     0   124   243   98.205
 253 WASHINGTON, WV                              0     1     0    13    71   98.080
 254 POCAHONTAS COUNTY, WV                       1     0     0    47     6   98.061
 255 RADFORD                                     3     4     0   102   180   98.044
 256 MOREHEAD, NC                                0     1     0    21    28   97.991
 257 TRINITY EPISCOPAL                           3     4     0   135   211   97.899
 258 HANDLEY                                     1     6     0    98   247   97.883
 259 WAKEFIELD                                   1     6     0   117   254   97.729
 260 HURLEY                                      7     0     0   374   114   97.621
 261 SOUTHAMPTON                                 4     2     0   183   131   97.528
 262 ALLEGHANY COUNTY, NC                        1     0     0    28    18   97.528
 263 STONEWALL JACKSON(M)                        1     7     0   155   285   97.476
 264 FRANKLIN                                    5     2     0   199   158   97.452
 265 PRINCESS ANNE                               2     5     0   191   162   97.325
 266 DAVID CROCKETT, TN                          0     1     0    10    38   97.306
 267 FORK UNION                                  2     5     0   137   218   97.215
 268 WILSON                                      0     7     0    84   192   97.086
 269 JAMESTOWN                                   2     5     0   128   250   97.072
 270 FLOYD COUNTY                                5     2     0   189    97   96.679
 271 MENCHVILLE                                  0     8     0    82   296   96.677
 272 MCMICHAEL, NC                               0     1     0     7    14   96.651
 273 WILSON MEMORIAL                             2     5     0   163   176   96.511
 274 CAROLINE                                    1     6     0    70   278   96.442
 275 ESSEX                                       2     5     0    95   148   96.336
 276 CULPEPER COUNTY                             2     5     0   118   201   96.292
 277 EDISON                                      2     5     0   100   239   96.287
 278 COLONIAL BEACH                              5     2     0   173   112   96.283
 279 OSBOURN                                     1     7     0   178   338   96.180
 280 NEW KENT                                    3     4     0   133   131   96.123
 281 LEE                                         5     2     0   178   127   96.057
 282 WILLIAM CAMPBELL                            3     4     0   174   242   96.041
 283 BISHOP IRETON                               0     7     0   119   200   95.838
 284 POTOMAC SCHOOL                              3     4     0   211   219   95.753
 285 ROCK RIDGE                                  1     7     0   134   297   95.620
 286 KELLAM                                      1     6     0    64   192   95.422
 287 CHRISTIANSBURG                              0     7     0    98   357   95.207
 288 PROVIDENCE DAY, NC                          0     1     0     9    51   94.978
 289 RURAL RETREAT                               2     5     0   188   247   94.971
 290 TAZEWELL                                    2     5     0   214   349   94.962
 291 HALIFAX COUNTY                              2     6     0   123   228   94.869
 292 GAR-FIELD                                   1     6     0    67   266   94.698
 293 PARK VIEW(S)                                2     5     0   128   212   94.551
 294 NORFOLK ACADEMY                             5     2     0   327   154   94.518
 295 QUANTICO                                    8     0     0   320    26   94.489
 296 JAMES WOOD                                  2     4     0    91   130   94.420
 297 CENTRAL VIRGINIA DISCIPLES HOMESCHOOL       0     1     0    20    30   94.351
 298 BLUE RIDGE                                  4     2     0   215    92   94.242
 299 RIVERSIDE                                   2     6     0   151   237   94.162
 300 WARREN COUNTY                               1     5     0    80   153   94.160
 301 CHURCHLAND                                  1     6     0    76   295   94.060
 302 BLUESTONE                                   4     3     0   169    96   93.534
 303 PRINCE EDWARD COUNTY                        4     4     0   207   186   93.451
 304 JAMES RIVER(B)                              2     6     0   156   233   93.223
 305 ATLANTIC SHORES CHRISTIAN                   6     1     0   288   145   93.220
 306 JOHN BATTLE                                 4     3     0   164   165   93.058
 307 AUBURN                                      4     3     0   192   171   93.051
 308 GILMAN, MD                                  0     1     0     7    50   92.862
 309 MCLEAN                                      0     7     0    50   320   92.690
 310 PAUL VI                                     1     6     0   117   231   92.330
 311 GEORGE MASON                                2     5     0   153   202   92.106
 312 BRUNSWICK                                   2     4     0   122   137   92.063
 313 BOOKER T. WASHINGTON                        1     6     0    76   234   92.031
 314 NARROWS                                     4     3     0   261   114   91.884
 315 NANDUA                                      5     2     0   226   182   91.553
 316 J.I. BURTON                                 4     3     0   248   180   91.449
 317 GRUNDY                                      6     2     0   179   192   91.448
 318 YORK                                        1     6     0    90   209   91.396
 319 NATIONAL CHRISTIAN ACADEMY, MD              1     0     0    14     8   91.389
 320 GEORGE WYTHE(R)                             1     6     0    42   295   91.243
 321 GRETNA                                      2     5     0   126   269   91.194
 322 BASSETT                                     1     6     0   138   334   91.174
 323 FLUVANNA                                    1     6     0    66   255   91.090
 324 OSBOURN PARK                                0     7     0    54   295   91.003
 325 FAIRFAX                                     0     7     0    55   313   90.977
 326 FIRST COLONIAL                              1     7     0   104   213   90.924
 327 PENDLETON COUNTY, WV                        1     0     0    40    12   90.852
 328 JOHN MARSHALL                               2     6     0    90   284   90.784
 329 KING WILLIAM                                4     3     0   191   187   90.689
 330 MANASSAS PARK                               1     7     0    94   343   90.683
 331 AMELIA COUNTY                               4     3     0   146   122   90.172
 332 GRAYSON COUNTY                              2     5     0   140   233   90.047
 333 SHELBY VALLEY, KY                           0     1     0    35    56   89.964
 334 NOTTOWAY                                    1     6     0   134   238   89.875
 335 ST. JOHN PAUL THE GREAT                     2     6     0   130   195   89.733
 336 CENTRAL(WISE)                               3     5     0   152   211   89.507
 337 CENTRAL MARYLAND CHRISTIAN, MD              3     0     0   114    23   89.401
 338 FUQUA SCHOOL                                4     2     0   253   179   89.085
 339 NORTHUMBERLAND                              5     2     0   210   175   89.047
 340 SIDWELL FRIENDS, DC                         2     2     0    81   119   89.008
 341 STONEWALL JACKSON(Q)                        0     7     0    50   266   88.780
 342 SKYLINE                                     1     6     0   121   293   88.709
 343 COLONIAL HEIGHTS                            0     7     0   140   323   88.514
 344 SPOTSYLVANIA                                1     6     0    99   309   87.928
 345 CHATHAM                                     2     5     0   145   259   87.823
 346 ISLE OF WIGHT                               4     2     0   181   119   87.730
 347 CHARLES CITY                                2     5     0   177   214   87.716
 348 GREENSVILLE COUNTY                          2     3     0   146   174   87.593
 349 BROADWAY                                    1     6     0   107   241   87.339
 350 LEBANON                                     2     5     0   118   179   87.182
 351 RICHMOND CHRISTIAN                          3     3     0   126    92   87.165
 352 BUCKINGHAM COUNTY                           1     7     0   156   328   86.676
 353 CASTLEWOOD                                  5     3     0   228   176   85.934
 354 ARCADIA                                     2     4     0   152   211   85.863
 355 CARROLL COUNTY                              1     6     0    90   248   85.775
 356 LANCASTER                                   3     3     0   194   154   85.402
 357 NORFOLK CHRISTIAN                           5     2     0   223   126   85.027
 358 RIDGEVIEW                                   1     6     0   119   192   84.693
 359 ARMSTRONG                                   0     7     0    39   309   84.361
 360 WASHINGTON & LEE                            3     4     0   150   253   84.301
 361 NANSEMOND-SUFFOLK                           2     5     0   166   302   84.300
 362 SURRY                                       3     4     0   211   205   83.909
 363 CHINCOTEAGUE                                6     2     0   284   155   83.832
 364 RANDOLPH-HENRY                              1     6     0   101   229   83.731
 365 BLAND COUNTY                                4     3     0   236   163   83.684
 366 GREENBRIER WEST, WV                         0     1     0     8    41   83.536
 367 MARYLAND CHRISTIAN, MD                      3     0     0   111     7   83.352
 368 HONAKER                                     2     6     0   204   257   82.737
 369 FORT DEFIANCE                               0     7     0    60   320   82.726
 370 RIVER VIEW, WV                              0     1     0    20    40   82.527
 371 BRUTON                                      0     7     0    46   271   82.476
 372 TWIN SPRINGS                                3     4     0   158   195   82.055
 373 RANDOLPH-MACON                              4     2     0   188   118   81.480
 374 CHRISTCHURCH                                3     2     0    91   116   81.323
 375 NATIONAL COLLEGIATE PREP                    1     0     0    58    13   81.092
 376 RAPPAHANNOCK COUNTY                         4     4     0   190   171   80.874
 377 NORTHAMPTON                                 4     3     0   287   248   80.659
 378 RICHARD WRIGHT, DC                          1     0     0    50    12   80.361
 379 WEST POINT                                  3     4     0   224   170   80.295
 380 EAST RIDGE, KY                              1     1     0    66    77   80.196
 381 MATHEWS                                     3     4     0   167   236   79.995
 382 WASHINGTON, MD                              0     1     0    27    31   79.870
 383 FREDERICKSBURG CHRISTIAN                    2     5     0   141   168   79.859
 384 MIDDLESEX                                   2     5     0   170   225   79.733
 385 ST. ANNE'S-BELFIELD                         1     5     0   111   220   79.482
 386 KEMPSVILLE                                  0     7     0    21   275   79.206
 387 WELDON, NC                                  0     1     0    28    53   78.957
 388 BATH COUNTY                                 1     5     0    46   216   78.724
 389 RAPPAHANNOCK                                1     5     0    82   160   78.444
 390 CURRITUCK COUNTY, NC                        0     1     0     0    35   78.377
 391 SNOW HILL, MD                               0     1     0    14    53   78.280
 392 HARLAN, KY                                  2     0     0    95    18   78.000
 393 PATRICK COUNTY                              1     7     0    88   303   77.535
 394 UNAKA, TN                                   0     1     0    16    65   77.534
 395 HARGRAVE MILITARY                           3     3     0   180   122   77.295
 396 PORTSMOUTH CHRISTIAN                        3     4     0   201   167   76.195
